report_id,report_date,regulation,trader_id,finding,description,status
CMP0014,2026-01-07,REMIT,T004,REMIT surveillance,Capacity-hoarding indicators on EUA Carbon Dec-26 Future-linked transmission nominations are being assessed to determine whether withholding influenced observed price formation.,Under Review
CMP0012,2026-01-14,EMIR,T012,EMIR surveillance,Collateral and margin reporting fields for German Power Baseload Day-Ahead were found complete and consistent following a targeted review; no further action was required.,Closed
CMP0023,2026-03-01,MiFID II,T018,MiFID II surveillance,"Transaction reports for UK Power Baseload Day-Ahead contained an invalid national client identifier for one participant, requiring correction of static data and resubmission.",Open
CMP0018,2026-03-09,REMIT,T013,REMIT surveillance,"Order-to-trade ratios on German Power Baseload Day-Ahead for one algorithmic participant exceeded venue guidance, prompting a review of the strategy's messaging behaviour and its market impact.",Open
CMP0016,2026-03-13,EMIR,T005,EMIR surveillance,A valuation-reporting discrepancy on EUA Carbon Dec-27 Future contracts between internal marks and the reported mark-to-market values requires reconciliation and possible amendment.,Open
CMP0010,2026-03-30,MiFID II,T004,MiFID II surveillance,"Clock-synchronisation records for THE Gas Calendar-27 order events showed drift beyond the permitted tolerance during one session, undermining sequencing evidence.",Open
CMP0024,2026-04-01,Market Abuse,T014,Market Abuse surveillance,A marking-the-close concern on EUA Carbon Dec-26 Future is being assessed where a cluster of trades near the settlement window may have influenced the reference price.,Under Review
CMP0006,2026-04-02,MiFID II,T019,MiFID II surveillance,Best-execution monitoring on TTF Gas Day-Ahead showed acceptable outcomes overall; a handful of outliers were explained by fast-market conditions and documented accordingly.,Closed
CMP0011,2026-04-16,REMIT,T018,REMIT surveillance,A suspected cross-market manipulation link between UK Power Baseload Season Win-26 and a related contract was investigated and closed after analysis showed the price relationship was consistent with normal arbitrage.,Closed
CMP0022,2026-04-16,REMIT,T002,REMIT surveillance,A fundamental-data publication error affecting EUA Carbon Dec-27 Future was corrected promptly and the corrected figures disseminated; no evidence of exploitation was found.,Closed
CMP0003,2026-04-19,EMIR,T009,EMIR surveillance,"Trade repository reconciliation identified mismatched notional values on a set of German Power Peakload Cal-27 derivative contracts between the two counterparties, requiring bilateral correction of the reported figures.",Open
CMP0007,2026-04-27,REMIT,T018,REMIT surveillance,"An inside-information disclosure obligation for a planned outage affecting UK Power Baseload Day-Ahead was met, though publication was nine minutes late. Process timing was tightened to ensure timely disclosure.",Closed
CMP0001,2026-05-05,REMIT,T005,REMIT surveillance,"Potential wash-trade pattern flagged where a participant appeared on both sides of several THE Gas Month-Ahead Aug-26 transactions within a short window, producing no change in beneficial ownership. Surveillance opened a review to establish intent and economic rationale.",Open
CMP0019,2026-05-06,MiFID II,T013,MiFID II surveillance,"Suspected mis-tagging of TTF Gas Month-Ahead Aug-26 orders as liquidity-providing when they were aggressive is being examined, as it affects fee treatment and surveillance classification.",Under Review
CMP0025,2026-05-12,REMIT,T005,REMIT surveillance,"A benchmarking review of TTF Gas Option Sep-26 price submissions found the contribution process robust, with adequate governance and record-keeping in place.",Closed
CMP0002,2026-06-04,MiFID II,T016,MiFID II surveillance,Transaction reporting completeness check found a small number of Nordic Power System Day-Ahead trades reported after the T+1 deadline due to a feed delay. Late reports were resubmitted and a control added to the reporting pipeline.,Closed
CMP0015,2026-06-05,MiFID II,T020,MiFID II surveillance,Position-limit monitoring confirmed that French Power Baseload Cal-27 exposures remained within regulatory thresholds throughout the period; near-limit alerts were reviewed and cleared.,Closed
CMP0017,2026-06-05,Market Abuse,T015,Market Abuse surveillance,An abnormal trading-volume alert on Nordic Power Baseload Q4-26 was investigated and attributed to a legitimate portfolio rebalancing by a large participant; the case was closed with a note.,Closed
CMP0008,2026-06-26,EMIR,T018,EMIR surveillance,Missing unique trade identifiers on a batch of TTF Gas Option Sep-26 contracts blocked pairing at the trade repository. The reporting party is regenerating identifiers and resubmitting.,Open
CMP0013,2026-06-27,Market Abuse,T019,Market Abuse surveillance,A momentum-ignition concern on German Power Baseload Cal-27 arose where aggressive trading appeared timed to trigger other participants' stops. Order and trade sequencing is under detailed reconstruction.,Open
CMP0021,2026-07-04,EMIR,T006,EMIR surveillance,Late confirmation of TTF Gas Month-Ahead Aug-26 bilateral trades was remediated and the confirmation workflow automated to prevent recurrence.,Closed
CMP0009,2026-07-17,Market Abuse,T014,Market Abuse surveillance,Spoofing indicators triggered on NBP Gas Month-Ahead Aug-26 where sizeable orders were repeatedly entered and withdrawn on one side while the participant traded on the other. The pattern is being examined against benign explanations.,Under Review
CMP0005,2026-07-20,Market Abuse,T005,Market Abuse surveillance,Unusual price movement in French Power Baseload Cal-27 shortly before a fundamental market announcement prompted an insider-dealing screen. Trading records and communications are being reviewed for the relevant participants.,Open
CMP0004,2026-07-21,REMIT,T001,REMIT surveillance,"A sequence of layering-like orders on Nordic Power System Day-Ahead was detected, with large non-genuine orders placed away from the touch and cancelled before execution. Analysts are assessing whether the activity was manipulative or legitimate liquidity provision.",Under Review
CMP0020,2026-07-24,Market Abuse,T018,Market Abuse surveillance,Communications review linked to UKA Carbon Dec-26 Future activity flagged ambiguous language between traders; the context is being clarified to rule out coordinated behaviour.,Open
