notice_id,notice_date,market_id,notice_type,title,description
NOT0003,2026-01-06,M001,Holiday Schedule,Public holiday closure affecting TTF Natural Gas,TTF Natural Gas will be closed for a national public holiday. Settlement and clearing activities scheduled for that date will move to the next business day.
NOT0007,2026-01-13,M012,Regulatory,REMIT reporting reminder for UKA Carbon Emissions participants,Participants active on UKA Carbon Emissions are reminded of their inside-information disclosure obligations and encouraged to review their reporting configuration ahead of the winter contracts.
NOT0014,2026-01-18,M004,Market Data,Historical-data availability for PEG Natural Gas,Extended historical order-book data for PEG Natural Gas is now available via the bulk history endpoint to support back-testing and analytics.
NOT0005,2026-02-14,M005,Clearing,Clearing house margin update for EEX German Power,"Following a volatility review, initial-margin parameters for EEX German Power cleared products will be adjusted. Members should ensure sufficient collateral ahead of the effective date."
NOT0001,2026-02-18,M009,Contract Listing,New contract listed for OMIE Iberian Power,A new forward contract has been listed on OMIE Iberian Power with standard lot and tick-size conventions. Trading opens at the next session and the instrument is immediately eligible for clearing.
NOT0002,2026-02-20,M007,Trading Hours,Amended trading hours for Nord Pool Nordic Power,Trading hours for Nord Pool Nordic Power will be extended by thirty minutes ahead of the seasonal contract roll to accommodate expected higher volumes around the close.
NOT0010,2026-03-11,M011,Fees,Fee-schedule update for Zeebrugge Natural Gas,An updated fee schedule for Zeebrugge Natural Gas takes effect next quarter. The revised maker-taker structure is intended to encourage resting liquidity.
NOT0020,2026-03-19,M006,Regulatory,Position-limit review for EPEX French Power,The venue has completed its periodic position-limit review for EPEX French Power; revised limits and accountability levels are set out in the accompanying document.
NOT0018,2026-03-25,M012,Fees,Waiver of listing fees for new UKA Carbon Emissions contracts,Listing fees for newly introduced UKA Carbon Emissions contracts will be waived for an introductory period to encourage participation.
NOT0017,2026-03-26,M012,Contract Specification,Delivery-period revision for UKA Carbon Emissions,Delivery-period definitions for certain UKA Carbon Emissions seasonal contracts have been revised to align with the updated market calendar.
NOT0015,2026-03-27,M012,Regulatory,MiFID II transaction-reporting guidance for UKA Carbon Emissions,"Updated guidance clarifies reporting fields for UKA Carbon Emissions instruments, including flags for algorithmic and direct-electronic-access activity."
NOT0006,2026-03-30,M001,Market Data,Market-data schema upgrade for TTF Natural Gas,The market-data feed for TTF Natural Gas will migrate to a new versioned schema. A parallel run is available for testing and the legacy feed will be retired after the transition window.
NOT0011,2026-04-11,M010,New Market,Launch of a new EUA Carbon Emissions order book,"A new order book for EUA Carbon Emissions will launch, offering additional delivery periods. Market-making commitments are in place to support initial liquidity."
NOT0012,2026-04-11,M011,Trading Halt,Volatility interruption rules on Zeebrugge Natural Gas,"Updated volatility-interruption thresholds for Zeebrugge Natural Gas will apply, defining the price bands that trigger a short auction to restore orderly trading."
NOT0019,2026-05-18,M008,Market Data,Latency-statistics publication for N2EX UK Power,N2EX UK Power will begin publishing anonymised latency statistics to improve transparency around execution performance.
NOT0008,2026-06-07,M004,Connectivity,Planned maintenance affecting PEG Natural Gas,A scheduled maintenance window will briefly affect PEG Natural Gas connectivity outside trading hours. Sessions should reconnect automatically once the window closes.
NOT0009,2026-06-07,M010,Contract Expiry,Expiry and settlement for EUA Carbon Emissions front contract,The front contract on EUA Carbon Emissions will expire at the end of the session. Final settlement prices will be published according to the standard methodology.
NOT0004,2026-06-08,M007,Tick Size,Tick-size change on Nord Pool Nordic Power,The minimum price increment for selected Nord Pool Nordic Power contracts will be reduced to improve price granularity. Connected clients should confirm their systems support the finer tick.
NOT0013,2026-07-14,M007,Clearing,Clearing house holiday for Nord Pool Nordic Power products,The clearing house observing a holiday will delay margin processing for Nord Pool Nordic Power products by one business day; trading remains unaffected.
NOT0016,2026-07-24,M011,Connectivity,New co-location cross-connect option for Zeebrugge Natural Gas,A lower-latency cross-connect option is now available for Zeebrugge Natural Gas co-located clients. Onboarding details are provided in the technical pack.
