incident_id,incident_date,market_id,severity,category,description,resolution
INC0037,2026-01-06,M003,High,Latency,Cross-connect degradation raised THE Natural Gas order latency for co-located clients while a redundant link was being maintained.,Maintenance rescheduled and clients migrated to the redundant path beforehand in future.
INC0020,2026-01-20,M012,Medium,Connectivity,WebSocket disconnections on the UKA Carbon Emissions browser front-end increased after a proxy upgrade shortened idle timeouts below the heartbeat interval.,Proxy idle timeout realigned with the application heartbeat; reconnection backoff smoothed on the client.
INC0032,2026-01-30,M012,Medium,Order Rejection,"Fat-finger price checks on UKA Carbon Emissions halted an unusually large but legitimate order, requiring manual review before release.",Order released after review; the risk desk raised the notional review threshold for this instrument class.
INC0001,2026-02-04,M010,High,Connectivity,"FIX gateway connection dropped for EUA Carbon Emissions during the morning auction window. Sessions for three Tier 1 participants disconnected and failed to auto-reconnect, delaying order submission by approximately eight minutes.",Failover to the secondary gateway restored sessions; TCP keepalive interval reduced and heartbeat monitoring tightened.
INC0019,2026-02-09,M003,Low,Authentication,A single API key for a THE Natural Gas market-data client was rate-limited after exceeding its request quota during backfill.,Client advised to use the bulk history endpoint; quota guidance added to the onboarding pack.
INC0008,2026-02-13,M011,Medium,Latency,Elevated round-trip times on Zeebrugge Natural Gas order entry correlated with a garbage-collection pause on one application node. Peak latency touched 210ms for about 90 seconds.,Node moved to a low-pause collector configuration and heap sizing revised; monitoring thresholds lowered.
INC0014,2026-02-17,M012,Medium,Market Data,Duplicate trade prints appeared on the UKA Carbon Emissions public tape after a feed handler restart replayed a portion of the sequence.,De-duplication window widened and sequence-number checkpointing added to the replay logic.
INC0028,2026-02-25,M011,Low,Clearing,A give-up allocation on Zeebrugge Natural Gas was routed to the wrong clearing member due to a stale static-data mapping.,Mapping corrected and a daily static-data reconciliation report introduced.
INC0029,2026-02-25,M002,Medium,Latency,Spikes in NBP Natural Gas quote latency traced to a chatty logging appender writing synchronously to disk under load.,Appender switched to asynchronous buffered writes; disk I/O contention resolved.
INC0025,2026-02-27,M001,Medium,Connectivity,Session throttling on TTF Natural Gas tripped for a client sending malformed cancel-replace messages in a tight loop.,Client fixed the message construction; server-side throttling thresholds documented.
